#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
139.,Mateusz Ponitka,BAHC,20,21.2,5.8,2.1,4.5,472,0.5,1.2,417,1.1,1.7,667,1.0,3.0,4.0,1.9,1.3,0.1,1.4,2.0
140.,Ismet Akpinar,BAHC,28,17.8,5.8,1.9,4.9,394,1.3,3.3,376,0.7,0.8,864,0.4,0.8,1.1,0.8,0.4,0.0,0.3,2.0
141.,Dae Dae Grant,TRA,14,12.6,5.8,1.9,6.2,299,0.8,3.1,250,1.3,1.4,947,0.5,1.3,1.8,1.3,0.1,0.0,0.9,1.2
142.,David Mutaf,EFE,24,13.4,5.7,2.0,5.0,412,1.2,2.7,446,0.4,0.7,625,0.2,1.0,1.2,0.8,0.6,0.0,0.6,1.3
143.,Freddie Gillespie,GAL,30,19.4,5.7,2.4,4.2,563,0.0,0.0,0,0.9,1.6,571,2.0,3.2,5.2,0.6,1.3,1.3,1.0,2.7
144.,Balsa Koprivica,BAHC,15,13.2,5.7,2.2,3.5,635,0.0,0.0,0,1.3,2.2,576,1.8,1.7,3.5,0.3,0.2,1.1,0.7,2.3
145.,Tolga Gecim,TOF,28,21.6,5.6,1.6,4.2,385,0.8,2.5,329,1.6,2.2,738,0.1,2.3,2.3,3.9,0.6,0.1,2.4,1.5
146.,Nick Weiler-Babb,EFE,22,22.1,5.6,2.0,4.3,453,0.8,2.3,360,0.9,1.0,905,0.6,2.9,3.5,4.4,0.8,0.1,1.2,2.2
147.,Rolands Smits,EFE,21,15.3,5.6,1.9,4.0,476,0.5,1.5,344,1.2,1.7,743,1.4,2.1,3.5,0.6,0.1,0.1,0.7,2.2
148.,Omer Ilyasoglu,MERK,28,17.8,5.6,1.9,4.8,403,1.3,3.0,412,0.5,0.6,765,0.3,0.9,1.3,3.0,0.4,0.1,1.4,2.0
149.,Kenan Sipahi,BAHC,14,19.6,5.5,1.6,5.9,265,0.6,2.9,220,1.7,2.1,828,0.2,1.1,1.4,2.2,0.3,0.0,1.1,1.4
150.,Joe Thomasson,TOF,12,18.5,5.5,2.1,5.5,379,0.8,2.7,281,0.6,0.8,778,0.5,2.3,2.8,2.3,0.4,0.1,0.8,1.6
151.,Muhsin Yasar,GAL,30,12.8,5.5,2.2,3.6,596,0.0,0.0,0,1.2,1.5,795,0.9,1.8,2.7,0.8,0.5,0.3,0.9,2.1
152.,Jay Scrubb,MANI,4,21.5,5.5,2.5,5.0,500,0.0,1.5,0,0.5,1.0,500,1.0,1.8,2.8,1.3,0.5,0.5,1.5,2.8
153.,Kevin Pangos,ENEN,25,18.9,5.5,1.8,4.3,407,0.8,2.4,328,1.2,1.6,707,0.2,1.1,1.4,4.3,0.7,0.0,1.7,2.2
154.,Steven Enoch,MER,13,10.5,5.5,2.4,4.1,585,0.0,0.3,0,0.7,0.8,818,0.8,1.2,2.1,0.4,0.2,0.3,0.4,1.3
155.,Jehyve Floyd,SOC,30,16.6,5.4,2.2,3.0,736,0.0,0.0,0,1.0,1.7,558,1.0,2.4,3.4,2.0,0.4,0.8,1.2,2.6
156.,Kai Jones,EFE,24,16.9,5.3,2.4,2.5,967,0.0,0.0,0,0.5,0.8,667,1.6,2.8,4.4,0.6,0.7,1.1,0.5,2.5
157.,Berkan Durmaz,TUR,30,16.0,5.3,1.7,4.1,426,0.8,2.3,368,1.0,1.4,674,0.8,2.7,3.5,1.1,0.6,0.2,0.5,2.2
158.,Isaiah Whaley,TOF,19,17.0,5.3,2.1,4.9,419,0.6,2.2,262,0.6,1.0,579,1.2,3.1,4.2,1.1,0.4,0.8,0.7,1.9
159.,Muhaymin Mustafa,DEM,13,16.1,5.2,2.0,5.6,356,0.5,2.2,241,0.7,1.1,643,1.1,1.4,2.5,1.6,1.0,0.2,0.8,1.8
160.,Jordan Ford,BAHC,12,13.4,5.2,1.8,3.9,468,0.7,1.7,400,0.8,1.0,833,0.1,1.2,1.3,0.6,0.4,0.1,0.5,1.0
161.,Javin DeLaurier,BURS,29,13.7,5.1,2.1,3.0,701,0.0,0.1,250,0.9,1.8,510,0.9,1.9,2.8,0.4,0.7,0.5,0.9,2.4
162.,Kartal Ozmizrak,MER,24,15.3,5.1,1.4,3.5,405,1.1,2.6,435,1.1,1.3,900,0.1,1.4,1.5,2.6,0.1,0.0,0.7,1.5
163.,John Petrucelli,GAL,11,14.3,5.0,1.7,4.3,404,0.7,2.2,333,0.8,1.0,818,0.8,1.0,1.8,0.9,1.4,0.1,0.6,1.6
164.,Yunus Sonsirma,SOC,26,22.5,5.0,1.6,4.7,344,1.0,3.1,309,0.8,1.0,840,0.4,2.2,2.6,2.5,0.5,0.0,1.2,2.2
165.,Alexandre Chassang,MER,19,17.6,4.9,2.0,3.9,507,0.3,1.0,263,0.7,1.0,684,1.8,2.2,4.0,1.5,0.8,0.2,0.7,2.7
