#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER
192.,Wenyen Gabriel,BAY,551,556,118.1,13.3,14.2,13.8,8.2,21.3,2.0,4.6,20.0,-5.7,1.2,99.6,112.4,-12.7,151.4,12.1
193.,Kamar Baldwin,BAY,477,431,156.1,2.6,13.3,7.7,26.9,13.7,3.0,0.0,24.1,3.3,1.0,102.6,114.2,-11.5,36.4,12.1
194.,Tadas Sedekerskis,BASK,586,584,132.7,5.3,19.6,12.8,9.6,11.9,0.7,0.3,15.3,0.2,1.3,114.3,120.9,-6.6,92.9,12.1
195.,Matteo Spagnolo,BASK,573,520,160.1,2.3,11.8,7.1,19.2,15.1,1.6,0.5,16.8,2.7,1.3,115.3,123.4,-8.1,151.5,12.1
196.,Edgaras Ulanovas,ZAL,609,530,166.3,5.8,9.7,7.7,11.6,8.7,0.9,0.4,12.7,3.1,1.5,135.6,119.2,16.5,184.8,11.9
197.,Thomas Walkup,OLY,524,503,150.8,3.8,10.0,7.0,34.8,22.9,2.1,0.1,12.7,10.1,1.1,121.8,114.5,7.3,271.5,11.9
198.,Tai Odiase,HAP,638,603,134.4,5.7,13.0,9.6,4.4,13.1,1.8,2.1,12.8,-1.5,1.5,122.1,114.6,7.4,75.9,11.9
199.,Collin Malcolm,HAP,613,591,167.8,5.1,13.4,9.5,5.5,7.9,1.7,1.6,11.7,0.6,1.3,126.8,116.2,10.6,249.1,11.9
200.,Tamir Blatt,MAC,565,545,153.8,1.8,10.4,5.9,41.1,26.5,0.8,0.0,19.8,6.0,1.2,109.6,125.9,-16.2,250.5,11.9
201.,Isaia Cordinier,EFE,555,495,156.1,3.4,12.9,8.1,14.1,14.8,1.8,1.1,20.5,-0.8,1.3,108.0,117.8,-9.8,162.4,11.8
202.,Nicola Akele,BOL,636,640,145.3,9.3,17.4,13.4,11.1,13.2,1.2,0.8,10.8,1.5,1.3,129.0,120.2,8.8,70.8,11.8
203.,Giampaolo Ricci,MIL,630,627,164.9,6.7,14.9,10.9,6.0,5.6,1.8,1.3,11.3,1.3,1.3,134.0,119.3,14.7,152.5,11.8
204.,Semi Ojeleye,ZVE,582,536,158.1,9.7,10.2,9.9,5.2,10.0,1.1,1.9,13.7,-0.7,1.4,125.1,117.3,7.8,218.5,11.8
205.,John DiBartolomeo,MAC,594,549,163.6,6.2,10.2,8.1,9.5,8.9,3.3,0.0,11.6,1.9,1.3,132.1,121.3,10.7,94.8,11.8
206.,Jeremy Morgan,PAR,604,590,164.4,6.4,10.6,8.4,12.7,15.2,2.3,1.2,12.6,1.3,1.3,124.8,116.3,8.5,152.5,11.6
207.,Alessandro Pajola,BOL,481,443,129.0,2.7,15.8,9.5,32.7,21.9,3.1,1.5,13.4,8.7,1.1,112.9,111.7,1.1,141.4,11.6
208.,Markus Howard,BASK,547,527,155.8,2.1,7.6,4.9,17.3,11.4,1.1,0.0,23.7,0.9,1.2,109.4,127.6,-18.2,107.8,11.6
209.,Amath M'Baye,PAR,581,529,159.1,4.1,6.6,5.4,9.5,14.0,1.7,0.8,19.0,-2.0,1.3,114.6,119.7,-5.1,123.4,11.5
210.,Davis Bertans,DUB,536,497,154.2,3.4,12.9,8.3,10.2,6.5,0.4,2.2,20.4,1.3,1.2,114.5,122.2,-7.7,124.5,11.5
