#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER
21.,Braian Angola-Rodas,LYV,614,510,160.2,1.6,15.6,8.0,29.3,12.6,2.2,0.0,27.7,3.2,1.6,123.4,116.6,6.8,150.3,20.7
22.,Edy Tavares,RMB,718,689,141.9,14.7,22.4,18.7,4.1,19.8,1.4,8.6,17.2,-5.6,1.8,126.4,110.2,16.2,395.0,20.5
23.,Usman Garuba,RMB,664,651,189.9,13.1,15.2,14.2,7.0,15.2,3.5,5.9,18.3,-3.1,1.5,125.3,108.5,16.7,191.4,20.5
24.,Aliou Diarra,BOL,679,688,123.9,16.7,22.2,19.5,12.5,14.7,1.3,6.5,17.5,-0.9,1.6,129.3,117.3,12.0,131.1,20.4
25.,Josh Nebo,MIL,695,676,133.9,13.5,20.5,17.0,4.3,12.8,0.7,3.9,18.8,-3.3,1.8,132.2,119.0,13.2,228.8,19.9
26.,Youssoupha Fall,FCB,689,688,130.3,14.3,25.5,19.7,4.9,7.4,0.8,2.4,14.6,-0.3,1.6,142.9,114.3,28.6,55.4,19.8
27.,Chima Moneke,ZVE,664,598,167.5,8.1,22.6,15.4,12.0,14.7,2.0,1.7,20.6,-1.8,1.7,128.1,111.0,17.1,398.1,19.8
28.,Roman Sorkin,MAC,596,556,167.5,8.9,14.2,11.5,14.1,9.3,1.3,3.0,24.6,0.0,1.3,123.2,121.9,1.4,346.9,19.8
29.,Matt Morgan,BOL,657,575,174.8,1.4,9.0,5.3,20.9,12.5,0.9,0.0,28.0,0.1,1.6,126.4,123.3,3.1,240.0,19.6
30.,Nando De Colo,FEN,726,663,198.5,1.6,8.9,5.5,25.4,18.4,0.8,0.0,23.6,0.4,1.7,132.6,116.0,16.5,98.3,19.6
31.,Aleksa Avramovic,DUB,565,519,154.3,4.7,9.9,7.4,28.8,13.8,4.1,0.8,26.7,3.8,1.3,115.6,115.0,0.6,150.6,19.6
32.,Azuolas Tubelis,ZAL,646,628,169.7,9.0,17.0,13.0,6.6,11.1,1.4,2.8,22.2,-2.8,1.4,124.2,114.4,9.8,348.9,19.4
33.,Talen Horton-Tucker,FEN,566,520,150.1,6.3,13.8,10.2,18.7,13.4,1.7,2.1,32.3,-3.1,1.3,112.0,111.5,0.5,324.4,19.4
34.,Cole Swider,EFE,725,696,193.8,2.5,14.4,8.3,6.0,6.0,1.3,0.0,21.6,-0.6,1.6,136.2,120.4,15.7,89.1,19.4
35.,Nate Reuvers,VAL,685,674,165.4,7.2,15.0,11.1,3.8,8.2,1.4,4.0,19.4,-1.9,1.6,133.2,113.3,19.9,305.8,19.3
36.,Theo Maledon,RMB,614,509,164.2,3.4,12.8,8.2,28.6,14.9,1.8,0.3,24.6,3.9,1.6,126.6,116.0,10.6,233.6,19.2
37.,Wade Baldwin IV,FEN,554,500,154.9,3.5,12.3,8.1,40.0,15.6,1.4,1.8,28.2,5.1,1.3,116.7,113.4,3.3,422.6,19.1
38.,Filip Petrusev,DUB,650,572,175.4,6.7,19.3,13.2,10.9,11.0,1.4,1.8,20.2,-0.4,1.7,129.3,118.1,11.2,346.1,19.1
39.,Carlik Jones,PAR,567,497,165.1,4.0,11.1,7.4,29.3,11.7,1.6,1.1,26.4,4.6,1.3,119.8,115.2,4.6,157.4,19.0
40.,Kenneth Faried,PAN,629,607,126.3,18.1,20.4,19.2,3.5,16.6,1.5,5.4,20.2,-5.6,1.5,119.5,113.6,6.0,177.8,19.0
41.,Vincent Poirier,EFE,571,524,127.4,14.8,18.8,16.8,12.4,9.3,1.5,3.7,20.7,0.5,1.3,121.5,112.5,9.0,102.0,18.9
42.,Daniel Theis,ASM,661,622,166.8,10.3,20.5,15.4,7.2,11.2,1.2,4.3,18.8,-1.7,1.5,128.5,113.4,15.1,305.6,18.9
43.,Darius Thompson,VAL,610,585,173.1,5.4,7.0,6.2,26.6,12.1,2.8,1.6,20.3,5.6,1.3,129.6,114.2,15.4,328.3,18.8
44.,Tornike Shengelia,FCB,632,578,172.1,8.2,17.1,12.6,18.3,15.9,1.7,1.4,22.6,-0.4,1.5,122.8,116.7,6.1,313.3,18.7
45.,Saben Lee,EFE,574,504,148.5,2.5,8.9,5.6,27.9,10.8,2.4,0.0,26.6,4.3,1.4,117.9,118.4,-0.5,113.5,18.6
46.,Kostas Sloukas,PAN,591,523,171.3,2.2,9.8,5.9,37.2,13.5,1.9,0.3,20.9,10.2,1.4,128.7,118.4,10.3,328.4,18.6
47.,Facundo Campazzo,RMB,632,578,172.7,1.5,8.6,5.2,33.2,16.8,2.6,0.0,22.4,5.7,1.5,127.0,115.9,11.1,401.0,18.6
48.,Johnathan Motley,HAP,698,672,183.0,7.2,14.2,10.9,10.7,16.1,1.0,1.2,23.5,-3.6,1.7,124.1,116.7,7.4,165.4,18.5
49.,Zach LeDay,MIL,660,608,182.5,4.6,18.1,11.5,6.3,8.6,1.1,1.3,21.6,-1.4,1.6,129.3,121.5,7.9,264.8,18.5
50.,Elijah Bryant,HAP,642,584,179.1,4.2,18.4,11.7,17.9,15.6,1.2,0.5,23.2,-0.1,1.5,121.6,115.2,6.4,424.0,18.5
51.,Chris Jones,HAP,604,569,177.8,1.3,11.4,6.6,32.9,16.4,2.4,0.1,23.3,5.6,1.3,119.6,115.6,4.0,339.1,18.3
52.,Laurynas Birutis,ZAL,646,692,109.9,13.5,17.4,15.5,4.5,9.1,1.2,3.0,16.6,-1.4,1.6,128.5,114.1,14.4,149.6,18.2
53.,Dzanan Musa,DUB,616,543,170.7,6.7,10.7,8.8,19.1,12.2,1.1,0.6,23.5,1.9,1.5,125.2,121.7,3.5,175.8,18.2
54.,Jared Butler,ZVE,561,530,161.6,3.8,10.1,6.9,34.6,13.8,1.8,0.4,31.4,2.7,1.2,115.7,118.0,-2.3,234.6,18.2
55.,Chris Silva,FEN,695,634,152.3,12.5,14.1,13.3,8.2,22.3,2.1,1.6,23.1,-7.9,1.7,118.4,113.7,4.7,37.5,18.1
56.,Mike James,ASM,564,481,161.1,1.6,13.0,7.4,35.7,14.7,1.6,0.4,26.8,5.8,1.4,116.3,117.4,-1.1,463.4,18.0
57.,"Bonzie Colson, Jr.",FEN,659,619,188.0,6.5,16.4,11.6,7.9,8.5,1.9,2.3,16.8,0.1,1.5,135.7,110.9,24.8,242.4,17.9
58.,Alexandros Samodurov,PAN,699,696,160.9,3.2,11.0,7.2,8.1,11.0,0.7,8.3,16.5,-0.4,1.5,131.0,113.6,17.5,27.9,17.9
59.,Armoni Brooks,MIL,603,584,169.2,4.4,16.4,10.5,11.4,8.0,1.5,1.2,25.5,-0.1,1.3,119.4,119.7,-0.2,296.1,17.9
60.,Nenad Dimitrijevic,BAY,640,583,178.1,2.1,12.7,7.5,33.4,23.0,2.2,0.4,26.2,0.9,1.5,114.1,116.5,-2.4,127.1,17.8
61.,Oscar da Silva,BAY,647,606,170.0,13.7,16.3,15.0,9.4,13.9,1.9,2.5,16.8,-1.3,1.4,127.3,115.0,12.4,202.5,17.6
62.,Zach Hankins,MAC,768,769,143.6,15.4,12.9,14.2,7.0,14.3,0.0,4.1,14.9,-2.2,1.8,140.5,123.9,16.6,35.6,17.5
63.,"Duane Washington, Jr.",PAR,568,538,162.7,1.0,8.5,4.4,23.7,11.2,1.5,0.0,32.5,0.1,1.2,110.2,124.4,-14.3,148.4,17.5
64.,Trent Forrest,BASK,587,480,158.0,3.4,11.7,7.5,30.2,12.9,1.7,1.2,20.4,6.4,1.5,126.1,124.3,1.8,249.3,17.4
65.,Kameron Taylor,VAL,626,591,171.8,5.4,17.9,11.6,13.4,13.3,2.1,1.4,20.4,-0.4,1.4,122.8,112.4,10.3,350.6,17.4
66.,Jordan Nwora,ZVE,588,543,163.3,3.3,17.8,10.5,10.6,13.4,2.2,1.1,28.0,-4.3,1.3,112.3,113.7,-1.3,313.8,17.4
67.,Tyler Dorsey,OLY,602,561,163.4,2.7,8.8,5.8,18.6,12.5,1.6,0.3,28.2,-0.5,1.4,117.9,116.0,1.9,346.1,17.3
68.,Kendrick Nunn,PAN,613,579,177.3,2.4,9.3,5.8,21.0,16.5,1.9,0.2,28.4,-2.0,1.3,112.6,118.9,-6.3,348.1,17.3
69.,Kai Jones,EFE,900,921,158.7,9.9,21.6,15.7,5.1,19.0,1.9,9.1,8.0,-1.1,2.1,152.5,111.2,41.3,213.4,17.2
70.,Glynn Watson,LYV,589,553,171.5,1.9,10.5,6.0,24.4,10.4,1.9,0.3,24.6,2.6,1.3,120.0,119.0,1.0,247.3,17.2
71.,Richaun Holmes,PAN,670,644,132.4,14.1,15.5,14.8,3.2,11.8,0.8,2.8,17.0,-2.9,1.7,131.6,117.0,14.6,113.5,17.2
72.,Will Clyburn,FCB,592,559,157.6,4.6,17.4,10.8,11.2,13.1,2.3,0.6,25.1,-2.7,1.3,114.0,114.5,-0.5,278.8,17.1
73.,Momo Diouf,BOL,638,598,134.4,13.2,16.4,14.8,11.8,19.1,1.6,4.5,20.0,-3.7,1.5,116.7,116.3,0.3,219.4,17.1
74.,McKinley Wright IV,DUB,618,559,174.8,1.9,9.5,5.9,34.3,16.3,1.8,0.6,19.7,7.0,1.4,124.9,121.1,3.8,411.9,17.0
75.,Mamadi Diakite,BASK,643,606,171.4,9.6,19.0,14.3,9.5,18.8,2.0,6.4,19.5,-4.0,1.4,114.9,116.7,-1.8,264.4,17.0
76.,Bruno Fernando,PAR,669,629,186.7,11.5,20.3,15.8,6.4,20.6,1.7,3.6,20.6,-6.5,1.6,114.6,114.2,0.4,198.6,17.0
77.,Antonio Blakeney,HAP,613,573,170.4,3.0,10.1,6.8,7.2,8.7,0.9,1.2,25.1,-1.6,1.4,119.4,118.8,0.6,278.1,16.9
78.,Brice Dessert,EFE,676,683,121.7,14.4,13.0,13.7,5.7,18.4,1.8,4.9,18.6,-5.2,1.5,115.0,116.3,-1.3,70.4,16.9
79.,Tonye Jekiri,PAR,571,545,124.1,13.6,19.8,16.7,12.5,12.5,2.1,1.8,18.4,0.0,1.3,119.3,110.2,9.1,103.9,16.7
80.,Kevin Punter,FCB,600,549,173.6,2.1,6.8,4.4,16.3,12.1,2.1,0.1,25.0,0.1,1.4,118.9,118.6,0.4,307.4,16.6
81.,Nigel Hayes-Davis,PAN,553,508,163.2,6.4,9.2,7.7,10.2,6.4,2.2,1.0,22.8,1.3,1.2,120.6,121.3,-0.7,139.3,16.6
82.,Jaylen Hoard,MAC,615,552,169.6,9.4,21.6,15.3,7.2,10.2,1.5,1.0,16.7,-0.8,1.4,127.8,119.2,8.6,375.0,16.5
83.,Lonnie Walker,MAC,550,497,150.2,1.3,12.8,6.9,17.6,10.6,1.9,1.2,30.3,-0.6,1.3,111.7,120.5,-8.8,205.0,16.5
84.,Alec Peters,OLY,668,619,174.8,5.2,18.1,11.9,10.6,13.2,1.8,0.2,19.1,-1.0,1.6,127.6,112.4,15.2,205.1,16.4
85.,Chuma Okeke,RMB,616,609,155.6,10.9,16.9,14.0,6.8,6.3,1.8,2.7,13.3,1.2,1.3,136.8,114.2,22.6,270.9,16.3
86.,Joel Bolomboy,ZVE,633,619,188.6,16.9,23.1,19.9,3.0,20.8,1.5,4.3,17.1,-6.6,1.4,113.2,112.2,0.9,80.9,16.2
87.,Jan Vesely,FCB,584,562,161.0,8.0,13.3,10.6,11.2,10.1,2.5,0.9,19.1,0.3,1.3,120.4,115.4,5.1,242.8,16.1
88.,Allan Julien Dokossi,PAR,678,717,112.6,14.6,26.0,20.2,15.3,32.7,3.9,1.0,14.8,-4.4,1.6,109.1,106.7,2.4,228.0,16.1
89.,Saliou Niang,BOL,678,641,175.6,12.2,18.1,15.2,14.4,21.8,2.3,2.1,14.6,-0.9,1.6,123.6,116.2,7.4,297.4,16.0
90.,Juancho Hernangomez,PAN,612,592,160.3,10.7,23.4,17.0,4.5,7.7,1.7,1.2,13.7,-0.3,1.3,130.9,114.3,16.6,396.0,15.9
91.,Nigel Williams-Goss,ZAL,541,510,163.2,2.3,10.7,6.5,27.4,12.0,2.2,0.3,24.1,4.7,1.2,115.4,116.3,-0.9,236.9,15.9
92.,T.J. Shorts II,PAN,519,478,146.4,1.1,9.8,5.3,30.8,11.3,2.1,0.0,26.1,6.0,1.2,111.5,118.1,-6.6,214.8,15.9
93.,Donatas Motiejunas,ZVE,632,620,155.0,7.9,10.2,9.1,10.5,12.6,1.3,0.0,20.1,-1.4,1.6,122.1,116.1,6.0,101.3,15.8
94.,Kenan Kamenjas,DUB,585,549,122.4,14.8,24.3,19.6,8.1,14.7,1.6,0.3,17.9,-2.3,1.4,118.1,115.5,2.6,108.4,15.8
95.,Kevarrius Hayes,ASM,639,609,132.8,12.7,12.1,12.4,5.0,14.0,2.3,5.1,15.5,-2.5,1.5,124.0,113.7,10.3,219.5,15.8
96.,Cameron Payne,PAR,565,510,159.7,2.3,11.0,6.6,30.5,16.7,2.8,0.0,27.7,1.7,1.3,109.2,120.9,-11.8,73.1,15.8
97.,Bryant Dunston,MIL,678,615,135.5,11.4,14.7,13.0,5.9,7.7,1.5,6.8,10.4,0.9,1.9,147.6,117.2,30.4,58.9,15.7
98.,Mario Hezonja,RMB,524,486,153.2,3.2,19.2,11.4,19.0,12.5,1.9,0.2,29.9,-0.9,1.1,107.3,113.8,-6.6,303.1,15.7
99.,David McCormack,BAY,623,594,130.2,8.7,19.2,13.8,9.0,18.5,2.9,1.3,21.2,-4.8,1.4,110.6,112.5,-1.9,126.3,15.7
100.,Shane Larkin,EFE,626,577,179.2,2.2,8.5,5.2,26.0,17.0,0.6,0.0,24.0,1.0,1.4,118.2,121.9,-3.7,111.1,15.6
101.,Kobi Simmons,BASK,613,555,169.2,1.3,6.7,3.9,23.6,13.9,1.7,0.4,22.2,2.5,1.4,120.3,125.2,-4.9,200.6,15.6
102.,Luca Vildoza,BOL,578,548,163.0,2.3,11.3,6.9,33.9,18.1,3.6,0.0,18.1,7.0,1.3,119.0,117.1,1.9,236.1,15.6
103.,Justinian Jessup,BAY,621,593,182.8,4.0,12.4,8.2,12.3,8.9,2.2,1.1,18.1,1.4,1.3,124.7,114.6,10.1,219.9,15.5
104.,Alpha Diallo,ASM,585,547,160.0,6.8,13.0,9.9,7.9,9.3,2.6,1.7,18.9,-0.5,1.3,118.3,114.7,3.7,367.4,15.5
105.,Cedi Osman,PAN,622,565,167.1,2.4,14.3,8.2,6.9,7.1,1.4,0.3,19.4,0.0,1.5,127.2,118.3,8.9,297.5,15.5
106.,Dario Brizuela,FCB,561,541,167.0,1.6,8.1,4.8,16.6,10.1,2.2,0.0,27.6,0.2,1.2,112.0,117.8,-5.8,150.5,15.4
107.,Mathias Lessort,PAN,614,588,125.4,13.9,17.9,15.9,8.0,19.6,1.8,1.4,17.7,-3.7,1.5,116.5,117.9,-1.5,101.1,15.3
108.,Eugene Omoruyi,BASK,566,489,152.8,9.7,14.9,12.2,15.9,17.2,1.6,0.8,26.1,-3.4,1.4,110.1,124.4,-14.3,145.0,15.3
109.,Shavon Shields,MIL,589,542,169.3,3.4,12.4,7.9,17.4,11.7,1.5,0.3,22.1,1.4,1.3,118.7,122.1,-3.5,285.4,15.2
110.,Hamidou Diallo,BASK,546,491,130.4,7.5,17.7,12.9,13.8,16.3,2.0,2.1,28.1,-4.3,1.3,103.2,117.5,-14.3,87.9,15.1
111.,Miles Norris,FCB,604,591,174.3,8.8,19.0,13.9,3.9,7.7,2.4,2.7,14.1,-0.6,1.3,127.0,111.8,15.2,142.9,15.1
112.,Derek Willis,PAR,588,552,163.2,9.1,19.4,14.3,11.7,9.2,1.2,2.8,14.6,1.8,1.3,130.4,113.0,17.4,168.6,15.1
113.,Brancou Badio,VAL,565,528,163.3,4.9,10.9,7.9,18.3,13.7,1.5,0.9,25.7,-0.3,1.2,113.5,115.9,-2.4,246.1,15.1
114.,Isaac Bonga,PAR,611,550,162.8,7.6,19.7,13.4,8.7,13.4,1.8,2.1,16.3,-1.0,1.4,120.9,116.0,4.9,340.5,15.0
115.,Willy Hernangomez,FCB,568,514,141.7,13.7,24.3,18.9,5.6,17.3,1.4,2.9,21.2,-5.5,1.5,109.8,113.7,-3.8,161.5,15.0
116.,Tyler Ennis,HAP,632,569,171.4,3.3,9.0,6.3,11.2,14.4,1.9,0.0,23.8,-2.4,1.6,120.5,111.8,8.6,19.6,14.9
117.,Bar Timor,HAP,648,633,213.3,0.0,10.7,5.8,14.4,11.5,4.6,0.0,14.4,3.4,1.3,125.9,111.3,14.5,17.1,14.9
118.,Marko Guduric,MIL,652,577,175.8,2.1,14.0,8.1,27.4,22.4,1.3,0.1,21.9,1.2,1.6,118.1,122.1,-4.0,243.0,14.9
119.,Arnas Butkevicius,ZAL,724,707,188.7,4.2,14.7,9.5,10.1,10.4,2.8,1.2,10.8,2.2,1.6,144.5,112.7,31.7,211.6,14.8
120.,Terry Tarpey,ASM,685,684,165.5,10.9,18.2,14.5,7.5,10.3,2.7,1.2,9.9,1.2,1.5,141.2,113.3,27.9,94.3,14.8
121.,Rodrigue Beaubois,EFE,567,554,183.0,1.0,12.6,6.7,17.1,9.5,2.6,1.7,20.2,2.1,1.2,111.5,115.5,-4.0,75.9,14.8
122.,Shaquielle McKissic,OLY,553,512,135.7,3.1,9.5,6.4,18.4,8.3,3.5,0.0,17.1,5.0,1.4,123.4,108.1,15.4,90.3,14.8
123.,Matt Costello,VAL,591,599,133.7,7.6,21.0,14.3,7.7,10.7,1.7,3.2,16.1,-0.3,1.4,120.5,110.7,9.8,224.9,14.7
124.,Leandro Bolmaro,MIL,562,511,167.0,5.3,14.6,10.0,21.7,14.2,1.6,0.3,21.9,2.2,1.3,115.6,119.3,-3.7,200.8,14.7
125.,Nikos Rogkavopoulos,PAN,586,550,167.7,6.6,14.2,10.4,6.3,6.4,0.9,0.8,19.6,-0.1,1.3,123.2,117.2,6.1,115.5,14.7
126.,Jimmy Clark III,MAC,514,484,152.3,3.5,8.1,5.7,37.0,18.0,3.5,0.6,25.7,4.1,1.1,107.2,120.2,-13.0,236.4,14.7
127.,Gabriel Lundberg,MAC,572,515,161.4,3.2,7.2,5.1,23.3,15.4,1.7,0.6,21.7,2.7,1.3,116.2,123.6,-7.4,120.1,14.6
128.,Mbaye N'Diaye,LYV,550,539,123.8,9.0,18.4,13.4,9.4,17.1,2.7,6.5,16.8,-2.6,1.3,105.5,112.9,-7.3,246.9,14.6
129.,Shaquille Harrison,LYV,519,487,136.2,4.2,14.8,9.2,18.8,13.2,3.8,0.6,21.2,1.0,1.2,106.0,112.6,-6.7,167.8,14.5
130.,Alen Smailagic,BOL,593,558,158.3,6.0,14.3,10.2,10.1,11.5,2.0,1.3,20.3,-1.1,1.3,115.5,118.5,-3.0,146.8,14.5
131.,Lorenzo Brown,MIL,529,508,180.3,2.3,12.1,7.2,34.1,19.5,3.5,0.6,23.0,3.1,1.1,104.7,116.5,-11.8,55.1,14.5
132.,Vasilis Toliopoulos,PAN,510,457,168.4,2.4,5.5,3.8,19.6,3.8,1.2,0.0,25.8,5.7,1.1,119.6,118.3,1.3,23.4,14.4
133.,Andres Feliz,RMB,577,557,161.5,6.7,11.7,9.3,19.7,14.1,1.9,0.2,18.9,2.5,1.2,120.2,115.5,4.7,181.3,14.4
134.,Nemanja Nedovic,ASM,621,591,174.0,2.1,9.2,5.7,16.3,11.8,2.2,0.9,19.4,1.9,1.3,120.2,118.7,1.5,129.5,14.3
135.,Nicolas Laprovittola,FCB,588,548,169.6,1.2,7.9,4.5,37.3,23.2,2.3,0.0,25.5,3.1,1.3,110.9,121.2,-10.3,100.1,14.3
136.,Neal Sako,VAL,555,583,97.2,16.5,19.6,18.0,7.5,15.6,1.2,3.3,17.0,-2.5,1.4,113.0,113.4,-0.4,178.9,14.3
137.,Codi Miller-McIntyre,ZVE,523,509,136.5,3.4,15.1,9.2,38.8,18.9,1.7,0.2,21.8,6.8,1.1,112.3,115.4,-3.0,443.9,14.3
138.,Alex Len,RMB,593,511,127.8,13.9,13.3,13.6,5.0,19.4,0.8,9.7,16.0,-4.4,1.5,115.9,111.6,4.3,64.3,14.2
139.,Dylan Osetkowski,PAR,573,532,168.0,6.5,13.5,9.8,8.4,6.0,2.7,0.6,16.1,1.4,1.3,123.8,116.8,7.0,194.1,14.2
140.,Elie Okobo,ASM,526,484,159.6,1.1,10.7,5.9,30.7,12.9,2.0,0.3,22.4,6.4,1.2,111.8,118.3,-6.5,339.5,14.1
141.,Tomas Satoransky,FCB,639,617,171.4,4.3,13.7,9.0,25.9,20.1,1.7,0.6,13.3,6.1,1.4,128.5,116.4,12.1,308.9,14.1
142.,Bastien Vautier,LYV,566,519,119.0,11.7,16.4,13.9,10.9,15.9,1.9,1.6,22.1,-3.6,1.4,109.4,116.9,-7.5,124.0,14.1
143.,Andreas Obst,BAY,582,541,168.7,1.5,9.0,5.2,13.2,11.0,0.8,0.2,25.4,-0.9,1.3,113.0,120.0,-7.0,249.4,14.1
144.,Clement Frisch,BASK,677,667,196.8,5.9,21.0,13.5,6.1,8.6,1.4,0.9,13.3,0.1,1.4,132.3,121.6,10.8,140.8,14.1
145.,Devin Booker,MIL,584,535,154.2,10.1,13.5,11.8,7.5,11.5,0.9,0.7,19.6,-1.7,1.4,119.0,121.4,-2.4,192.1,13.9
146.,Isiaha Mike,BAY,566,551,160.7,5.2,18.1,11.5,11.5,11.3,1.9,1.8,20.5,-0.5,1.2,111.4,114.2,-2.8,236.8,13.9
147.,Omari Moore,VAL,541,506,149.7,5.2,9.9,7.5,26.0,16.7,1.6,0.4,22.0,2.8,1.2,112.7,116.5,-3.8,233.3,13.9
148.,Jordan Loyd,EFE,566,497,160.9,3.6,11.1,7.3,14.0,10.9,1.5,0.4,23.8,0.0,1.3,113.9,119.9,-6.0,198.1,13.9
149.,Marcio Santos,MAC,650,572,169.7,6.1,8.5,7.2,7.4,16.2,2.1,2.5,20.4,-4.1,1.7,120.2,121.9,-1.6,115.8,13.9
150.,Sterling Brown,PAR,580,550,175.4,2.6,11.2,6.7,14.4,14.7,1.7,0.8,23.6,-1.8,1.2,108.8,118.6,-9.8,277.1,13.9
151.,Evan Fournier,OLY,553,521,157.6,2.5,8.9,5.8,22.1,13.9,2.0,0.3,26.0,1.1,1.2,111.7,115.2,-3.5,226.6,13.9
152.,Jaron Blossomgame,ASM,618,601,151.3,7.1,15.2,11.2,5.2,8.3,0.7,0.3,17.2,-0.9,1.4,122.6,119.5,3.2,288.0,13.8
153.,Armel Traore,LYV,639,631,157.9,10.2,19.0,14.3,5.8,18.4,1.5,2.5,16.5,-4.4,1.4,112.2,116.9,-4.7,168.8,13.8
154.,"B.J. Boston, Jr.",FEN,556,523,155.0,8.4,9.9,9.2,4.0,8.3,2.2,1.5,19.1,-1.7,1.2,118.3,113.8,4.5,78.8,13.7
155.,Erxhan Osmani,EFE,616,584,171.0,6.8,19.5,13.1,10.2,18.7,1.2,0.8,22.1,-4.8,1.4,107.9,117.8,-9.9,241.0,13.7
